id,label,properties
3937,date,"{""datetime"":""1928-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
8555,date,"{""datetime"":""1912-04-02"",""__unique"":[""datetime""],""__label"":""date""}"
2826,date,"{""datetime"":""1915-12-25"",""__unique"":[""datetime""],""__label"":""date""}"
4843,date,"{""datetime"":""1912-07-28"",""__unique"":[""datetime""],""__label"":""date""}"
3379,date,"{""datetime"":""1928-07-21"",""__unique"":[""datetime""],""__label"":""date""}"
5604,date,"{""datetime"":""1920-12-12"",""__unique"":[""datetime""],""__label"":""date""}"
19240,date,"{""datetime"":""1922-04-11"",""__unique"":[""datetime""],""__label"":""date""}"
240,date,"{""datetime"":""1913-07-14"",""__unique"":[""datetime""],""__label"":""date""}"
2629,date,"{""datetime"":""1899-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
8951,date,"{""datetime"":""1927-06-06"",""__unique"":[""datetime""],""__label"":""date""}"
11976,date,"{""datetime"":""1910-05-05"",""__unique"":[""datetime""],""__label"":""date""}"
3687,date,"{""datetime"":""1911-07-23"",""__unique"":[""datetime""],""__label"":""date""}"
6399,date,"{""datetime"":""1931-09-06"",""__unique"":[""datetime""],""__label"":""date""}"
12080,date,"{""datetime"":""1930-07-06"",""__unique"":[""datetime""],""__label"":""date""}"
10491,date,"{""datetime"":""1928-02-25"",""__unique"":[""datetime""],""__label"":""date""}"
11364,date,"{""datetime"":""1912-10-20"",""__unique"":[""datetime""],""__label"":""date""}"
15510,date,"{""datetime"":""1916-08-13"",""__unique"":[""datetime""],""__label"":""date""}"
3723,date,"{""datetime"":""1915-12-23"",""__unique"":[""datetime""],""__label"":""date""}"
908,date,"{""datetime"":""1919-05-19"",""__unique"":[""datetime""],""__label"":""date""}"
10634,date,"{""datetime"":""1921-03-27"",""__unique"":[""datetime""],""__label"":""date""}"
7812,date,"{""datetime"":""1927-12-25"",""__unique"":[""datetime""],""__label"":""date""}"
5197,date,"{""datetime"":""1926-02-28"",""__unique"":[""datetime""],""__label"":""date""}"
4172,date,"{""datetime"":""1913-07-05"",""__unique"":[""datetime""],""__label"":""date""}"
3609,date,"{""datetime"":""1934-01-03"",""__unique"":[""datetime""],""__label"":""date""}"
56,date,"{""datetime"":""1925-09-09"",""__unique"":[""datetime""],""__label"":""date""}"
1995,date,"{""datetime"":""1912-07-11"",""__unique"":[""datetime""],""__label"":""date""}"
488,date,"{""datetime"":""1928-08-12"",""__unique"":[""datetime""],""__label"":""date""}"
3892,date,"{""datetime"":""1910-03-07"",""__unique"":[""datetime""],""__label"":""date""}"
15840,date,"{""datetime"":""1931-09-18"",""__unique"":[""datetime""],""__label"":""date""}"
2807,date,"{""datetime"":""1932-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
8840,date,"{""datetime"":""1912-05-11"",""__unique"":[""datetime""],""__label"":""date""}"
6854,date,"{""datetime"":""1910-03-22"",""__unique"":[""datetime""],""__label"":""date""}"
18004,date,"{""datetime"":""1912-03-26"",""__unique"":[""datetime""],""__label"":""date""}"
4711,date,"{""datetime"":""1912-05-19"",""__unique"":[""datetime""],""__label"":""date""}"
1132,date,"{""datetime"":""1934-07-06"",""__unique"":[""datetime""],""__label"":""date""}"
3856,date,"{""datetime"":""1887-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
2103,date,"{""datetime"":""1924-08-03"",""__unique"":[""datetime""],""__label"":""date""}"
19621,date,"{""datetime"":""1921-04-01"",""__unique"":[""datetime""],""__label"":""date""}"
15073,date,"{""datetime"":""1933-04-03"",""__unique"":[""datetime""],""__label"":""date""}"
19248,date,"{""datetime"":""1910-02-10"",""__unique"":[""datetime""],""__label"":""date""}"
10092,date,"{""datetime"":""1913-12-20"",""__unique"":[""datetime""],""__label"":""date""}"
6472,date,"{""datetime"":""1915-04-10"",""__unique"":[""datetime""],""__label"":""date""}"
8624,date,"{""datetime"":""1929-09-16"",""__unique"":[""datetime""],""__label"":""date""}"
9054,date,"{""datetime"":""1937-06-02"",""__unique"":[""datetime""],""__label"":""date""}"
10829,date,"{""datetime"":""1909-06-02"",""__unique"":[""datetime""],""__label"":""date""}"
19229,date,"{""datetime"":""1927-12-19"",""__unique"":[""datetime""],""__label"":""date""}"
19486,date,"{""datetime"":""2014-04-08"",""__unique"":[""datetime""],""__label"":""date""}"
6458,date,"{""datetime"":""1927-07-17"",""__unique"":[""datetime""],""__label"":""date""}"
3018,date,"{""datetime"":""1930-09-21"",""__unique"":[""datetime""],""__label"":""date""}"
7947,date,"{""datetime"":""1938-05-15"",""__unique"":[""datetime""],""__label"":""date""}"
