id,label,properties
3573,place,"{""name"":""Kolbeinsskeið (i) í Selárdal"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4227,place,"{""name"":""Skógargerði, Fell"",""long"":""-14.416114"",""lat"":""65.343044"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2485,place,"{""name"":""Sæból"",""long"":""-23.705298"",""lat"":""66.057228"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3201,place,"{""name"":""Haugar við Þorragarð"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2088,place,"{""name"":""Gafl, Flóahreppi"",""long"":""-20.778772"",""lat"":""63.844782"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1800,place,"{""name"":""England"",""long"":""-1.845703125"",""lat"":""54.13669645687"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4720,place,"{""name"":""Ingveldarhóll"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4475,place,"{""name"":""Vindás í Oddahverfi"",""long"":""-20.386029"",""lat"":""63.778466"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1014,place,"{""name"":""Ytra-Fjall"",""long"":""-17.425314"",""lat"":""65.853096"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1118,place,"{""name"":""Knarrarós"",""long"":""-20.975822"",""lat"":""63.823296"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1410,place,"{""name"":""Stokksnes"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3228,place,"{""name"":""Lurkasteinn"",""long"":""-18.660011"",""lat"":""65.477634"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4607,place,"{""name"":""Snjallsteinshöfði"",""long"":""-20.285107"",""lat"":""63.884727"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3605,place,"{""name"":""Dalaskálkur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
