src-id,dst-id,label,properties
10070,10071,date-of-narration,"{""__label"":""date-of-narration""}"
15549,11796,date-of-narration,"{""__label"":""date-of-narration""}"
18338,2159,date-of-narration,"{""__label"":""date-of-narration""}"
8428,474,date-of-narration,"{""__label"":""date-of-narration""}"
5235,5238,date-of-narration,"{""__label"":""date-of-narration""}"
9367,258,date-of-narration,"{""__label"":""date-of-narration""}"
16747,4678,date-of-narration,"{""__label"":""date-of-narration""}"
8998,3190,date-of-narration,"{""__label"":""date-of-narration""}"
1651,1670,date-of-narration,"{""__label"":""date-of-narration""}"
3789,3790,date-of-narration,"{""__label"":""date-of-narration""}"
11431,3710,date-of-narration,"{""__label"":""date-of-narration""}"
12795,2172,date-of-narration,"{""__label"":""date-of-narration""}"
14115,8810,date-of-narration,"{""__label"":""date-of-narration""}"
1942,735,date-of-narration,"{""__label"":""date-of-narration""}"
338,341,date-of-narration,"{""__label"":""date-of-narration""}"
6976,5411,date-of-narration,"{""__label"":""date-of-narration""}"
6041,201,date-of-narration,"{""__label"":""date-of-narration""}"
18982,18983,date-of-narration,"{""__label"":""date-of-narration""}"
18597,2807,date-of-narration,"{""__label"":""date-of-narration""}"
8183,5764,date-of-narration,"{""__label"":""date-of-narration""}"
13724,13727,date-of-narration,"{""__label"":""date-of-narration""}"
10052,1629,date-of-narration,"{""__label"":""date-of-narration""}"
9198,7671,date-of-narration,"{""__label"":""date-of-narration""}"
18795,910,date-of-narration,"{""__label"":""date-of-narration""}"
14838,3915,date-of-narration,"{""__label"":""date-of-narration""}"
2797,2801,date-of-narration,"{""__label"":""date-of-narration""}"
6286,3848,date-of-narration,"{""__label"":""date-of-narration""}"
10868,4244,date-of-narration,"{""__label"":""date-of-narration""}"
17508,17511,date-of-narration,"{""__label"":""date-of-narration""}"
17768,4839,date-of-narration,"{""__label"":""date-of-narration""}"
3708,3710,date-of-narration,"{""__label"":""date-of-narration""}"
11222,2189,date-of-narration,"{""__label"":""date-of-narration""}"
15063,7789,date-of-narration,"{""__label"":""date-of-narration""}"
5539,183,date-of-narration,"{""__label"":""date-of-narration""}"
17571,795,date-of-narration,"{""__label"":""date-of-narration""}"
2694,418,date-of-narration,"{""__label"":""date-of-narration""}"
6374,201,date-of-narration,"{""__label"":""date-of-narration""}"
11400,3146,date-of-narration,"{""__label"":""date-of-narration""}"
4509,4513,date-of-narration,"{""__label"":""date-of-narration""}"
3843,3848,date-of-narration,"{""__label"":""date-of-narration""}"
7962,7963,date-of-narration,"{""__label"":""date-of-narration""}"
7058,7062,date-of-narration,"{""__label"":""date-of-narration""}"
9378,9379,date-of-narration,"{""__label"":""date-of-narration""}"
6894,2441,date-of-narration,"{""__label"":""date-of-narration""}"
1890,910,date-of-narration,"{""__label"":""date-of-narration""}"
15568,15573,date-of-narration,"{""__label"":""date-of-narration""}"
1987,1990,date-of-narration,"{""__label"":""date-of-narration""}"
9537,1719,date-of-narration,"{""__label"":""date-of-narration""}"
7612,3407,date-of-narration,"{""__label"":""date-of-narration""}"
17743,13682,date-of-narration,"{""__label"":""date-of-narration""}"
10537,10538,date-of-narration,"{""__label"":""date-of-narration""}"
18145,9829,date-of-narration,"{""__label"":""date-of-narration""}"
10498,10501,date-of-narration,"{""__label"":""date-of-narration""}"
12771,7345,date-of-narration,"{""__label"":""date-of-narration""}"
19170,3079,date-of-narration,"{""__label"":""date-of-narration""}"
10528,432,date-of-narration,"{""__label"":""date-of-narration""}"
12745,12750,date-of-narration,"{""__label"":""date-of-narration""}"
7638,7641,date-of-narration,"{""__label"":""date-of-narration""}"
11086,9985,date-of-narration,"{""__label"":""date-of-narration""}"
11322,11324,date-of-narration,"{""__label"":""date-of-narration""}"
8847,910,date-of-narration,"{""__label"":""date-of-narration""}"
7329,7332,date-of-narration,"{""__label"":""date-of-narration""}"
5572,5575,date-of-narration,"{""__label"":""date-of-narration""}"
6308,313,date-of-narration,"{""__label"":""date-of-narration""}"
3935,3937,date-of-narration,"{""__label"":""date-of-narration""}"
2803,1027,date-of-narration,"{""__label"":""date-of-narration""}"
3630,1740,date-of-narration,"{""__label"":""date-of-narration""}"
3699,3701,date-of-narration,"{""__label"":""date-of-narration""}"
10750,5604,date-of-narration,"{""__label"":""date-of-narration""}"
5761,5764,date-of-narration,"{""__label"":""date-of-narration""}"
2290,2293,date-of-narration,"{""__label"":""date-of-narration""}"
10066,910,date-of-narration,"{""__label"":""date-of-narration""}"
4750,4752,date-of-narration,"{""__label"":""date-of-narration""}"
7437,2562,date-of-narration,"{""__label"":""date-of-narration""}"
5184,5187,date-of-narration,"{""__label"":""date-of-narration""}"
15471,1486,date-of-narration,"{""__label"":""date-of-narration""}"
5316,5317,date-of-narration,"{""__label"":""date-of-narration""}"
13751,3440,date-of-narration,"{""__label"":""date-of-narration""}"
13990,7789,date-of-narration,"{""__label"":""date-of-narration""}"
18619,12025,date-of-narration,"{""__label"":""date-of-narration""}"
5162,5163,date-of-narration,"{""__label"":""date-of-narration""}"
1697,649,date-of-narration,"{""__label"":""date-of-narration""}"
16813,3575,date-of-narration,"{""__label"":""date-of-narration""}"
9876,5197,date-of-narration,"{""__label"":""date-of-narration""}"
2168,2172,date-of-narration,"{""__label"":""date-of-narration""}"
16413,16414,date-of-narration,"{""__label"":""date-of-narration""}"
3685,3687,date-of-narration,"{""__label"":""date-of-narration""}"
19586,1486,date-of-narration,"{""__label"":""date-of-narration""}"
19754,1626,date-of-narration,"{""__label"":""date-of-narration""}"
5416,1951,date-of-narration,"{""__label"":""date-of-narration""}"
8789,3146,date-of-narration,"{""__label"":""date-of-narration""}"
13597,13599,date-of-narration,"{""__label"":""date-of-narration""}"
19896,910,date-of-narration,"{""__label"":""date-of-narration""}"
6008,6010,date-of-narration,"{""__label"":""date-of-narration""}"
15781,3923,date-of-narration,"{""__label"":""date-of-narration""}"
16937,3407,date-of-narration,"{""__label"":""date-of-narration""}"
136,151,date-of-narration,"{""__label"":""date-of-narration""}"
7545,2368,date-of-narration,"{""__label"":""date-of-narration""}"
19364,19365,date-of-narration,"{""__label"":""date-of-narration""}"
13007,6060,date-of-narration,"{""__label"":""date-of-narration""}"
