id,label,properties
4202,person,"{""name"":""Björn Jóhannesson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4933,person,"{""name"":""Friðrik Bjarnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10285,person,"{""name"":""Torfi Steinþórsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2244,person,"{""name"":""Skúli Bergþórsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2744,person,"{""name"":""Kristín Filippusdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4560,person,"{""name"":""Solveig Þorláksdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1566,person,"{""name"":""Magnús Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10628,person,"{""name"":""Jón Helgason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8642,person,"{""name"":""Halldór Þórðarson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12091,person,"{""name"":""Marinó Sigurðsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11919,person,"{""name"":""Solveig Sigurðardóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
840,person,"{""name"":""Markús Gíslason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2457,person,"{""name"":""Gunnfríður Rögnvaldsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2778,person,"{""name"":""Munnmæli í Hálsþinghá og víðar"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1438,person,"{""name"":""Magnús Arason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2184,person,"{""name"":""Bjarni Árnason Scheving"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5219,person,"{""name"":""Guðrún Árnadóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11300,person,"{""name"":""Þorsteinn M. Jónsson (1969), Gríma III, bls. 191-92"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10408,person,"{""name"":""Karl Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
